date,close,adjusted close,dividend
2000-12-29,10.15,4.5381,0.053
2001-01-31,10.25,4.6052,0.0502
2001-02-28,10.29,4.6463,0.0515
2001-03-30,10.27,4.6611,0.0528
2001-04-30,10.17,4.6373,0.0475
2001-05-31,10.18,4.6641,0.0487
2001-06-29,10.16,4.6782,0.0508
2001-07-31,10.33,4.7784,0.0477
2001-08-31,10.39,4.8313,0.0544
2001-09-28,10.47,4.8889,0.0439
2001-10-31,10.63,4.9863,0.0487
2001-11-30,10.45,4.9255,0.0504
2001-12-31,10.34,4.8953,0.0458
2002-01-31,10.37,4.9309,0.0452
2002-02-28,10.43,4.9811,0.0457
2002-03-28,10.2,4.8933,0.046
2002-04-30,10.35,4.9864,0.0442
2002-05-31,10.39,5.0279,0.0461
2002-06-28,10.42,5.0613,0.039
2002-07-31,10.51,5.1248,0.0407
2002-08-30,10.65,5.2139,0.0428
2002-09-30,10.77,5.2906,0.0367
2002-10-31,10.69,5.2703,0.0387
2002-11-29,10.64,5.2652,0.0396
2002-12-31,10.78,5.3687,0.0689
2003-01-31,10.75,5.3738,0.0402
2003-02-28,10.86,5.4476,0.0376
2003-03-31,10.82,5.4455,0.0359
2003-04-30,10.87,5.4901,0.0386
2003-05-30,11.03,5.5907,0.0391
2003-06-30,10.98,5.5828,0.0345
2003-07-31,10.57,5.392,0.0348
2003-08-29,10.6,5.4265,0.0377
2003-09-30,10.85,5.5722,0.0345
2003-10-31,10.71,5.5204,0.0393
2003-11-28,10.71,5.5387,0.0355
2003-12-31,10.77,5.5908,0.0407
2004-01-30,10.81,5.6319,0.0391
2004-02-27,10.88,5.6875,0.0369
2004-03-31,10.92,5.7283,0.038
2004-04-30,10.6,5.5787,0.0349
2004-05-28,10.52,5.5536,0.0323
2004-06-30,10.54,5.5827,0.0351
2004-07-30,10.61,5.6389,0.0361
2004-08-31,10.78,5.7475,0.0343
2004-09-30,10.76,5.7558,0.0356
2004-10-29,10.81,5.802,0.0364
2004-11-30,10.68,5.7522,0.0372
2004-12-31,10.74,5.8064,0.0406
2005-01-31,10.77,5.8418,0.0355
2005-02-28,10.67,5.8082,0.0381
2005-03-31,10.57,5.7749,0.0387
2005-04-29,10.67,5.8511,0.0395
2005-05-31,10.74,5.9097,0.0369
2005-06-30,10.76,5.9414,0.0375
2005-07-29,10.62,5.8851,0.0381
2005-08-31,10.72,5.9618,0.0383
